probe_id	gene_symbol	gene_name	go_ids
A0A7M7LP82	A0A7M7LP82	A0A7M7LP82	GO:0001708|GO:0002164|GO:0005509|GO:0005654|GO:0005770|GO:0005911|GO:0007219|GO:0007411|GO:0007422|GO:0007476|GO:0007498|GO:0007548|GO:0008284|GO:0008347|GO:0009792|GO:0009952|GO:0009986|GO:0010001|GO:0010160|GO:0010631|GO:0016318|GO:0016324|GO:0019899|GO:0019904|GO:0022407|GO:0030097|GO:0030855|GO:0035239|GO:0035282|GO:0040008|GO:0042659|GO:0043235|GO:0045944|GO:0048056|GO:0048565|GO:0048568|GO:0048598|GO:0048608|GO:0048663|GO:0048732|GO:0048863|GO:0050768|GO:0050769|GO:0050877|GO:0120035|GO:1990433
A0A7M7MLE3	A0A7M7MLE3	A0A7M7MLE3	GO:0004622|GO:0004623|GO:0004806|GO:0006644|GO:0016324
A0A7M7MLH5	A0A7M7MLH5	A0A7M7MLH5	GO:0004622|GO:0004623|GO:0004806|GO:0006644|GO:0016324
A0A7M7MLI6	A0A7M7MLI6	A0A7M7MLI6	GO:0004622|GO:0004623|GO:0004806|GO:0006644|GO:0016324
A0A7M7R7K7	A0A7M7R7K7	A0A7M7R7K7	GO:0004300|GO:0005743|GO:0006635|GO:0016507|GO:0016509|GO:0016740|GO:0070403
A0A7M7RBJ2	A0A7M7RBJ2	A0A7M7RBJ2	GO:0004144|GO:0005789|GO:0019432|GO:0050252
A0A7M7TF77	A0A7M7TF77	A0A7M7TF77	GO:0005737|GO:0006693|GO:0032440|GO:0047522
A0A8U0WQF3	A0A8U0WQF3	A0A8U0WQF3	GO:0005615|GO:0005634|GO:0005694|GO:0005730|GO:0045335|GO:0045735
A8CL69	A8CL69	A8CL69	GO:0005184|GO:0005615|GO:0007218|GO:0016084
O18330	O18330	O18330	GO:0005576|GO:0005737|GO:0005856|GO:0016028|GO:0022609|GO:0031640|GO:0032934|GO:0048650|GO:0050829|GO:0050830|GO:0050832
P00630	P00630	P00630	GO:0004623|GO:0005509|GO:0005576|GO:0006644|GO:0016042|GO:0050482
P01500	P01500	P01500	GO:0005576|GO:0019870|GO:0035738|GO:0070320|GO:0090729|GO:1901017|GO:1901380|GO:1903609
P01501	P01501	P01501	GO:0004860|GO:0005576|GO:0006811|GO:0008289|GO:0015288|GO:0031640|GO:0044218|GO:0046930|GO:0090729|GO:0140678
P0CY46	P0CY46	P0CY46	GO:0004714|GO:0005524|GO:0008284|GO:0009925|GO:0009966|GO:0022008|GO:0038127|GO:0043066|GO:0043235
P56587	P56587	P56587	GO:0005516|GO:0005576|GO:0015459|GO:0044231|GO:0090729
P85797	P85797	P85797	GO:0005576|GO:0007218
Q08169	Q08169	Q08169	GO:0004415|GO:0005576|GO:0005975|GO:0006952|GO:0030214
Q17060	Q17060	Q17060	GO:0003725|GO:0003727|GO:0005576
Q2V0C9	Q2V0C9	Q2V0C9	GO:0004122|GO:0005737|GO:0006535|GO:0019343|GO:0020037|GO:0030170|GO:0046872
Q6J4Q1	Q6J4Q1	Q6J4Q1	GO:0005615|GO:0005634|GO:0030139|GO:0045735
Q868G6	Q868G6	Q868G6	GO:0005576|GO:0007218|GO:0007268|GO:0045202
Q8ISL8	Q8ISL8	Q8ISL8	GO:0005576|GO:0022609|GO:0032934
A0A7M6UX13	A0A7M6UX13	A0A7M6UX13	GO:0000281|GO:0005524|GO:0005737|GO:0005856|GO:0007266|GO:0008270|GO:0012505|GO:0030866|GO:0031032|GO:0031267|GO:0032154|GO:0048598|GO:0072518|GO:1901888
A0A7M7FYR0	A0A7M7FYR0	A0A7M7FYR0	GO:0000289|GO:0000932|GO:0003676|GO:0004535|GO:0005634|GO:0006397|GO:0010606|GO:0031251|GO:0046872
A0A7M7G1R7	A0A7M7G1R7	A0A7M7G1R7	GO:0003857|GO:0004303|GO:0005739|GO:0006631|GO:0008209|GO:0008210|GO:0047044
A0A7M7G8S7	A0A7M7G8S7	A0A7M7G8S7	GO:0005608|GO:0007411|GO:0009887|GO:0009888|GO:0016477|GO:0030054|GO:0034446|GO:0070831
A0A7M7G9Z0	A0A7M7G9Z0	A0A7M7G9Z0	GO:0000166|GO:0005737|GO:0009117|GO:0009204|GO:0035870|GO:0036220|GO:0036222|GO:0046872
A0A7M7GIR7	A0A7M7GIR7	A0A7M7GIR7	GO:0000209|GO:0000502|GO:0005634|GO:0005737|GO:0006511|GO:0008270|GO:0009966|GO:0010604|GO:0016874|GO:0030518|GO:0042752|GO:0048511|GO:0048513|GO:0048731|GO:0061630|GO:0080090
A0A7M7GJ98	A0A7M7GJ98	A0A7M7GJ98	GO:0005634|GO:0005829|GO:0005986|GO:0006000|GO:0006002|GO:0006094|GO:0030018|GO:0030388|GO:0042132|GO:0046872|GO:0070161
A0A7M7GJQ5	A0A7M7GJQ5	A0A7M7GJQ5	GO:0000209|GO:0000502|GO:0005634|GO:0005737|GO:0006511|GO:0008270|GO:0009966|GO:0010604|GO:0016874|GO:0030518|GO:0042752|GO:0048511|GO:0048513|GO:0048731|GO:0061630|GO:0080090
A0A7M7GJY4	A0A7M7GJY4	A0A7M7GJY4	GO:0004303|GO:0005759|GO:0006633|GO:0008210|GO:0047035|GO:0048038
A0A7M7GK94	A0A7M7GK94	A0A7M7GK94	GO:0005509|GO:0005891|GO:0007268|GO:0008331|GO:0009581|GO:0009582|GO:0016322|GO:0016323|GO:0016324|GO:0019722|GO:0042045|GO:0045202|GO:0050906|GO:0098703
A0A7M7GQM9	A0A7M7GQM9	A0A7M7GQM9	GO:0005737|GO:0016404|GO:0047034
A0A7M7GS78	A0A7M7GS78	A0A7M7GS78	GO:0005509|GO:0005576|GO:0005911|GO:0007411|GO:0007476|GO:0007498|GO:0007548|GO:0008201|GO:0008347|GO:0009986|GO:0010160|GO:0010631|GO:0016318|GO:0022407|GO:0040008|GO:0048056|GO:0048495|GO:0048565|GO:0048568|GO:0048598|GO:0048608|GO:0048732|GO:0050769|GO:0071944|GO:0120035
A0A7M7GSA8	A0A7M7GSA8	A0A7M7GSA8	GO:0003878|GO:0005524|GO:0005829|GO:0006085|GO:0006101|GO:0006633|GO:0046872
A0A7M7GSP0	A0A7M7GSP0	A0A7M7GSP0	GO:0001941|GO:0007155|GO:0007274|GO:0008045|GO:0016200|GO:0031594|GO:0034110|GO:0034116|GO:0040017|GO:0042803|GO:0043005|GO:0043025|GO:0046982|GO:0048499|GO:0048513|GO:0048790|GO:0051124|GO:0097060|GO:0097090|GO:0099559|GO:2000331
A0A7M7GSW5	A0A7M7GSW5	A0A7M7GSW5	GO:0000289|GO:0000932|GO:0003676|GO:0004535|GO:0005634|GO:0006397|GO:0010606|GO:0031251|GO:0046872
A0A7M7GTS2	A0A7M7GTS2	A0A7M7GTS2	GO:0000289|GO:0000932|GO:0003676|GO:0004535|GO:0005634|GO:0006397|GO:0010606|GO:0031251|GO:0046872
A0A7M7GTV7	A0A7M7GTV7	A0A7M7GTV7	GO:0001888|GO:0004177|GO:0004252|GO:0005789|GO:0005794|GO:0006508|GO:0008240|GO:0015012|GO:0046872
A0A7M7GUC8	A0A7M7GUC8	A0A7M7GUC8	GO:0000902|GO:0005509|GO:0005886|GO:0007219|GO:0008587|GO:0009986|GO:0016330|GO:0030718|GO:0035214|GO:0036011|GO:0042063|GO:0043208|GO:0045179|GO:0046331|GO:0048018|GO:0048100|GO:0048666
A0A7M7GUT9	A0A7M7GUT9	A0A7M7GUT9	GO:0003779|GO:0005200|GO:0005543|GO:0005829|GO:0007026|GO:0007274|GO:0008017|GO:0008091|GO:0016192|GO:0016199|GO:0016328|GO:0031594|GO:0042062|GO:0045169|GO:0045170|GO:0048790|GO:0051693
A0A7M7GUX9	A0A7M7GUX9	A0A7M7GUX9	GO:0001941|GO:0007155|GO:0007274|GO:0008045|GO:0016200|GO:0031594|GO:0034110|GO:0034116|GO:0040017|GO:0042803|GO:0043005|GO:0043025|GO:0046982|GO:0048499|GO:0048513|GO:0048790|GO:0051124|GO:0097060|GO:0097090|GO:0099559|GO:2000331
A0A7M7GV76	A0A7M7GV76	A0A7M7GV76	GO:0000902|GO:0001736|GO:0005509|GO:0005912|GO:0007043|GO:0007156|GO:0007163|GO:0007297|GO:0007424|GO:0007431|GO:0008013|GO:0008104|GO:0009887|GO:0016339|GO:0016342|GO:0034332|GO:0035239|GO:0044331|GO:0045296|GO:0048565|GO:0048589|GO:0098858
A0A7M7GV98	A0A7M7GV98	A0A7M7GV98	GO:0003779|GO:0005200|GO:0005543|GO:0005829|GO:0007026|GO:0007274|GO:0008017|GO:0008091|GO:0016192|GO:0016199|GO:0016328|GO:0031594|GO:0042062|GO:0045169|GO:0045170|GO:0048790|GO:0051693
A0A7M7GW41	A0A7M7GW41	A0A7M7GW41	GO:0001661|GO:0004114|GO:0007165|GO:0007268|GO:0007614|GO:0007615|GO:0007619|GO:0007623|GO:0008355|GO:0040040|GO:0045202|GO:0046872|GO:0046958|GO:0048675
A0A7M7GWH9	A0A7M7GWH9	A0A7M7GWH9	GO:0001661|GO:0004114|GO:0007165|GO:0007268|GO:0007614|GO:0007615|GO:0007619|GO:0007623|GO:0008355|GO:0040040|GO:0045202|GO:0046872|GO:0046958|GO:0048675
A0A7M7GWT8	A0A7M7GWT8	A0A7M7GWT8	GO:0001661|GO:0004114|GO:0007165|GO:0007268|GO:0007614|GO:0007615|GO:0007619|GO:0007623|GO:0008355|GO:0040040|GO:0045202|GO:0046872|GO:0046958|GO:0048675
A0A7M7GX79	A0A7M7GX79	A0A7M7GX79	GO:0004637|GO:0004641|GO:0004644|GO:0005524|GO:0005829|GO:0006189|GO:0046084|GO:0046872
A0A7M7GYJ5	A0A7M7GYJ5	A0A7M7GYJ5	GO:0001941|GO:0007155|GO:0007274|GO:0008045|GO:0016200|GO:0031594|GO:0034110|GO:0034116|GO:0040017|GO:0042803|GO:0043005|GO:0043025|GO:0046982|GO:0048499|GO:0048513|GO:0048790|GO:0051124|GO:0097060|GO:0097090|GO:0099559|GO:2000331
A0A7M7GYJ8	A0A7M7GYJ8	A0A7M7GYJ8	GO:0001941|GO:0007155|GO:0007274|GO:0008045|GO:0016200|GO:0031594|GO:0034110|GO:0034116|GO:0040017|GO:0042803|GO:0043005|GO:0043025|GO:0046982|GO:0048499|GO:0048513|GO:0048790|GO:0051124|GO:0097060|GO:0097090|GO:0099559|GO:2000331
A0A7M7GYK9	A0A7M7GYK9	A0A7M7GYK9	GO:0002092|GO:0003779|GO:0005080|GO:0005543|GO:0005856|GO:0005886|GO:0006886|GO:0008021|GO:0014069|GO:0019904|GO:0032588|GO:0034315|GO:0043005|GO:0043113|GO:0046872|GO:0048471|GO:0097062|GO:0098842
A0A7M7GYM0	A0A7M7GYM0	A0A7M7GYM0	GO:0001661|GO:0004114|GO:0007165|GO:0007268|GO:0007614|GO:0007615|GO:0007619|GO:0007623|GO:0008355|GO:0040040|GO:0045202|GO:0046872|GO:0046958|GO:0048675
A0A7M7GYN7	A0A7M7GYN7	A0A7M7GYN7	GO:0002092|GO:0003779|GO:0005080|GO:0005543|GO:0005856|GO:0005886|GO:0006886|GO:0008021|GO:0014069|GO:0019904|GO:0032588|GO:0034315|GO:0043005|GO:0043113|GO:0046872|GO:0048471|GO:0097062|GO:0098842
A0A7M7H035	A0A7M7H035	A0A7M7H035	GO:0001941|GO:0007155|GO:0007274|GO:0008045|GO:0016200|GO:0031594|GO:0034110|GO:0034116|GO:0040017|GO:0042803|GO:0043005|GO:0043025|GO:0046982|GO:0048499|GO:0048513|GO:0048790|GO:0051124|GO:0097060|GO:0097090|GO:0099559|GO:2000331
A0A7M7H042	A0A7M7H042	A0A7M7H042	GO:0000428|GO:0003677|GO:0003899|GO:0005654|GO:0006351|GO:0006508|GO:0008237|GO:0008241|GO:0016020|GO:0046872
A0A7M7H077	A0A7M7H077	A0A7M7H077	GO:0001941|GO:0007155|GO:0007274|GO:0008045|GO:0016200|GO:0031594|GO:0034110|GO:0034116|GO:0040017|GO:0042803|GO:0043005|GO:0043025|GO:0046982|GO:0048499|GO:0048513|GO:0048790|GO:0051124|GO:0097060|GO:0097090|GO:0099559|GO:2000331
A0A7M7H0D2	A0A7M7H0D2	A0A7M7H0D2	GO:0000281|GO:0005524|GO:0005737|GO:0005856|GO:0007266|GO:0008270|GO:0012505|GO:0030866|GO:0031032|GO:0031267|GO:0032154|GO:0048598|GO:0072518|GO:1901888
A0A7M7H0E0	A0A7M7H0E0	A0A7M7H0E0	GO:0000922|GO:0005524|GO:0005737|GO:0005813|GO:0005874|GO:0008017|GO:0008568|GO:0016887|GO:0051013|GO:0051301
A0A7M7H109	A0A7M7H109	A0A7M7H109	GO:0004016|GO:0005516|GO:0005524|GO:0005794|GO:0005886|GO:0005929|GO:0006171|GO:0007189|GO:0007608|GO:0035556|GO:0046872
A0A7M7H121	A0A7M7H121	A0A7M7H121	GO:0001661|GO:0004114|GO:0007165|GO:0007268|GO:0007614|GO:0007615|GO:0007619|GO:0007623|GO:0008355|GO:0040040|GO:0045202|GO:0046872|GO:0046958|GO:0048675
A0A7M7H1N8	A0A7M7H1N8	A0A7M7H1N8	GO:0001661|GO:0004114|GO:0007165|GO:0007268|GO:0007614|GO:0007615|GO:0007619|GO:0007623|GO:0008355|GO:0040040|GO:0045202|GO:0046872|GO:0046958|GO:0048675
A0A7M7H280	A0A7M7H280	A0A7M7H280	GO:0005789|GO:0005794|GO:0005886|GO:0006892|GO:0006897|GO:0030658|GO:0031901|GO:0032585|GO:0055038
A0A7M7H2I3	A0A7M7H2I3	A0A7M7H2I3	GO:0000070|GO:0005524|GO:0005694|GO:0005737|GO:0005813|GO:0005819|GO:0005874|GO:0008017|GO:0008568|GO:0016020|GO:0016887|GO:0031117|GO:0034214|GO:0051013
A0A7M7H308	A0A7M7H308	A0A7M7H308	GO:0004867|GO:0005576|GO:0030414|GO:0031640|GO:0042742|GO:0044278|GO:0050832
A0A7M7H320	A0A7M7H320	A0A7M7H320	GO:0001941|GO:0007155|GO:0007274|GO:0008045|GO:0016200|GO:0031594|GO:0034110|GO:0034116|GO:0040017|GO:0042803|GO:0043005|GO:0043025|GO:0046982|GO:0048499|GO:0048513|GO:0048790|GO:0051124|GO:0097060|GO:0097090|GO:0099559|GO:2000331
A0A7M7H3F4	A0A7M7H3F4	A0A7M7H3F4	GO:0001941|GO:0007155|GO:0007274|GO:0008045|GO:0016200|GO:0031594|GO:0034110|GO:0034116|GO:0040017|GO:0042803|GO:0043005|GO:0043025|GO:0046982|GO:0048499|GO:0048513|GO:0048790|GO:0051124|GO:0097060|GO:0097090|GO:0099559|GO:2000331
A0A7M7H3K9	A0A7M7H3K9	A0A7M7H3K9	GO:0001941|GO:0007155|GO:0007274|GO:0008045|GO:0016200|GO:0031594|GO:0034110|GO:0034116|GO:0040017|GO:0042803|GO:0043005|GO:0043025|GO:0046982|GO:0048499|GO:0048513|GO:0048790|GO:0051124|GO:0097060|GO:0097090|GO:0099559|GO:2000331
A0A7M7H3L9	A0A7M7H3L9	A0A7M7H3L9	GO:0001661|GO:0004114|GO:0007165|GO:0007268|GO:0007614|GO:0007615|GO:0007619|GO:0007623|GO:0008355|GO:0040040|GO:0045202|GO:0046872|GO:0046958|GO:0048675
A0A7M7H494	A0A7M7H494	A0A7M7H494	GO:0004348|GO:0005102|GO:0005764|GO:0005774|GO:0006066|GO:0006680|GO:0006914|GO:0007040|GO:0008202|GO:0010605|GO:0016241|GO:0016758|GO:0030163|GO:0032006|GO:0042391|GO:0051246
A0A7M7H5U2	A0A7M7H5U2	A0A7M7H5U2	GO:0005608|GO:0007411|GO:0009887|GO:0009888|GO:0016477|GO:0030054|GO:0034446|GO:0070831
A0A7M7IE49	A0A7M7IE49	A0A7M7IE49	GO:0001941|GO:0007155|GO:0007274|GO:0008045|GO:0016200|GO:0031594|GO:0034110|GO:0034116|GO:0040017|GO:0042803|GO:0043005|GO:0043025|GO:0046982|GO:0048499|GO:0048513|GO:0048790|GO:0051124|GO:0097060|GO:0097090|GO:0099559|GO:2000331
A0A7M7IFB4	A0A7M7IFB4	A0A7M7IFB4	GO:0004348|GO:0005102|GO:0005764|GO:0005774|GO:0006066|GO:0006680|GO:0006914|GO:0007040|GO:0008202|GO:0010605|GO:0016241|GO:0016758|GO:0030163|GO:0032006|GO:0042391|GO:0051246
A0A7M7IHI4	A0A7M7IHI4	A0A7M7IHI4	GO:0005737|GO:0016404|GO:0047034
A0A7M7IHM6	A0A7M7IHM6	A0A7M7IHM6	GO:0005509|GO:0005886|GO:0007219|GO:0007411|GO:0008587|GO:0009986|GO:0016330|GO:0030718|GO:0035214|GO:0036011|GO:0042063|GO:0043208|GO:0043235|GO:0045179|GO:0046331|GO:0048018|GO:0048100
A0A7M7IIW4	A0A7M7IIW4	A0A7M7IIW4	GO:0005509|GO:0005891|GO:0007268|GO:0008331|GO:0009581|GO:0009582|GO:0016322|GO:0016323|GO:0016324|GO:0019722|GO:0042045|GO:0045202|GO:0050906|GO:0098703
A0A7M7IJW6	A0A7M7IJW6	A0A7M7IJW6	GO:0005634|GO:0005829|GO:0005986|GO:0006000|GO:0006002|GO:0006094|GO:0030018|GO:0030388|GO:0042132|GO:0046872|GO:0070161
A0A7M7ILD9	A0A7M7ILD9	A0A7M7ILD9	GO:0003841|GO:0005739|GO:0005811|GO:0006631|GO:0006654|GO:0030154|GO:0052689|GO:0055088
A0A7M7IMD0	A0A7M7IMD0	A0A7M7IMD0	GO:0005337|GO:0005634|GO:0005829|GO:0010181|GO:0016020|GO:0016226|GO:0016651|GO:0050660|GO:0050661|GO:0160246
A0A7M7IT45	A0A7M7IT45	A0A7M7IT45	GO:0005737|GO:0016404|GO:0047034
A0A7M7KYP6	A0A7M7KYP6	A0A7M7KYP6	GO:0005509|GO:0005891|GO:0007268|GO:0008331|GO:0009581|GO:0009582|GO:0016322|GO:0016323|GO:0016324|GO:0019722|GO:0042045|GO:0042383|GO:0045202|GO:0050906|GO:0098703
A0A7M7KYQ9	A0A7M7KYQ9	A0A7M7KYQ9	GO:0005509|GO:0005891|GO:0007268|GO:0008331|GO:0009581|GO:0009582|GO:0016322|GO:0016323|GO:0016324|GO:0019722|GO:0042045|GO:0045202|GO:0050906|GO:0098703
A0A7M7KYS0	A0A7M7KYS0	A0A7M7KYS0	GO:0005509|GO:0005891|GO:0007268|GO:0008331|GO:0009581|GO:0009582|GO:0016322|GO:0016323|GO:0016324|GO:0019722|GO:0042045|GO:0045202|GO:0050906|GO:0098703
A0A7M7KYS3	A0A7M7KYS3	A0A7M7KYS3	GO:0005509|GO:0005891|GO:0007268|GO:0008331|GO:0009581|GO:0009582|GO:0016322|GO:0016323|GO:0016324|GO:0019722|GO:0042045|GO:0045202|GO:0050906|GO:0098703
A0A7M7KYT1	A0A7M7KYT1	A0A7M7KYT1	GO:0005509|GO:0005891|GO:0007268|GO:0008331|GO:0009581|GO:0009582|GO:0016322|GO:0016323|GO:0016324|GO:0019722|GO:0042045|GO:0045202|GO:0050906|GO:0098703
A0A7M7KYT2	A0A7M7KYT2	A0A7M7KYT2	GO:0005509|GO:0005891|GO:0007268|GO:0008331|GO:0009581|GO:0009582|GO:0016322|GO:0016323|GO:0016324|GO:0019722|GO:0042045|GO:0045202|GO:0050906|GO:0098703
A0A7M7KYU7	A0A7M7KYU7	A0A7M7KYU7	GO:0005509|GO:0005891|GO:0007268|GO:0008331|GO:0009581|GO:0009582|GO:0016322|GO:0016323|GO:0016324|GO:0019722|GO:0042045|GO:0045202|GO:0050906|GO:0098703
A0A7M7KYU9	A0A7M7KYU9	A0A7M7KYU9	GO:0005509|GO:0005891|GO:0007268|GO:0008331|GO:0009581|GO:0009582|GO:0016322|GO:0016323|GO:0016324|GO:0019722|GO:0042045|GO:0045202|GO:0050906|GO:0098703
A0A7M7KZP5	A0A7M7KZP5	A0A7M7KZP5	GO:0005509|GO:0005891|GO:0007268|GO:0008331|GO:0009581|GO:0009582|GO:0016322|GO:0016323|GO:0016324|GO:0019722|GO:0042045|GO:0045202|GO:0050906|GO:0098703
A0A7M7L156	A0A7M7L156	A0A7M7L156	GO:0005509|GO:0005891|GO:0007268|GO:0008331|GO:0009581|GO:0009582|GO:0016322|GO:0016323|GO:0016324|GO:0019722|GO:0042045|GO:0045202|GO:0050906|GO:0098703
A0A7M7L166	A0A7M7L166	A0A7M7L166	GO:0005509|GO:0005891|GO:0007268|GO:0008331|GO:0009581|GO:0009582|GO:0016322|GO:0016323|GO:0016324|GO:0019722|GO:0042045|GO:0045202|GO:0050906|GO:0098703
A0A7M7L1A4	A0A7M7L1A4	A0A7M7L1A4	GO:0005509|GO:0005891|GO:0007268|GO:0008331|GO:0009581|GO:0009582|GO:0016322|GO:0016323|GO:0016324|GO:0019722|GO:0042045|GO:0045202|GO:0050906|GO:0098703
A0A7M7L1B5	A0A7M7L1B5	A0A7M7L1B5	GO:0005509|GO:0005891|GO:0007268|GO:0008331|GO:0009581|GO:0009582|GO:0016322|GO:0016323|GO:0016324|GO:0019722|GO:0042045|GO:0045202|GO:0050906|GO:0098703
A0A7M7L1D1	A0A7M7L1D1	A0A7M7L1D1	GO:0005509|GO:0005891|GO:0007268|GO:0008331|GO:0009581|GO:0009582|GO:0016322|GO:0016323|GO:0016324|GO:0019722|GO:0042045|GO:0045202|GO:0050906|GO:0098703
A0A7M7L1L3	A0A7M7L1L3	A0A7M7L1L3	GO:0003941|GO:0004794|GO:0005524|GO:0006565|GO:0006567|GO:0008721|GO:0009097|GO:0030170|GO:0030378|GO:0070178
A0A7M7L215	A0A7M7L215	A0A7M7L215	GO:0005509|GO:0005891|GO:0007268|GO:0008331|GO:0009581|GO:0009582|GO:0016322|GO:0016323|GO:0016324|GO:0019722|GO:0042045|GO:0045202|GO:0050906|GO:0098703
A0A7M7L226	A0A7M7L226	A0A7M7L226	GO:0005509|GO:0005891|GO:0007268|GO:0008331|GO:0009581|GO:0009582|GO:0016322|GO:0016323|GO:0016324|GO:0019722|GO:0042045|GO:0045202|GO:0050906|GO:0098703
A0A7M7L256	A0A7M7L256	A0A7M7L256	GO:0005509|GO:0005891|GO:0007268|GO:0008331|GO:0009581|GO:0009582|GO:0016322|GO:0016323|GO:0016324|GO:0019722|GO:0042045|GO:0045202|GO:0050906|GO:0098703
A0A7M7L4G9	A0A7M7L4G9	A0A7M7L4G9	GO:0003941|GO:0004794|GO:0005524|GO:0006565|GO:0006567|GO:0008721|GO:0009097|GO:0030170|GO:0030378|GO:0070178
A0A7M7L4I8	A0A7M7L4I8	A0A7M7L4I8	GO:0000105|GO:0004329|GO:0004477|GO:0004488|GO:0005524|GO:0005829|GO:0006164|GO:0009086|GO:0009257|GO:0035999|GO:0046655
A0A7M7L4Q9	A0A7M7L4Q9	A0A7M7L4Q9	GO:0005509|GO:0005891|GO:0007268|GO:0008331|GO:0009581|GO:0009582|GO:0016322|GO:0016323|GO:0016324|GO:0019722|GO:0042045|GO:0045202|GO:0050906|GO:0098703
A0A7M7L4R8	A0A7M7L4R8	A0A7M7L4R8	GO:0005509|GO:0005891|GO:0007268|GO:0008331|GO:0009581|GO:0009582|GO:0016322|GO:0016323|GO:0016324|GO:0019722|GO:0042045|GO:0045202|GO:0050906|GO:0098703
A0A7M7L540	A0A7M7L540	A0A7M7L540	GO:0005509|GO:0005891|GO:0007268|GO:0008331|GO:0009581|GO:0009582|GO:0016322|GO:0016323|GO:0016324|GO:0019722|GO:0042045|GO:0045202|GO:0050906|GO:0098703
A0A7M7L553	A0A7M7L553	A0A7M7L553	GO:0005509|GO:0005891|GO:0007268|GO:0008331|GO:0009581|GO:0009582|GO:0016322|GO:0016323|GO:0016324|GO:0019722|GO:0042045|GO:0045202|GO:0050906|GO:0098703
A0A7M7L8C5	A0A7M7L8C5	A0A7M7L8C5	GO:0005509|GO:0005891|GO:0007268|GO:0008331|GO:0009581|GO:0009582|GO:0016322|GO:0016323|GO:0016324|GO:0019722|GO:0042045|GO:0045202|GO:0050906|GO:0098703
